# Mask name, center:
RMJ0003B           0:03:50.05   10:04:22.1  2000.0 PA=-140.0 ##

#  Guider center:    0:03:41.78   10:03:51.1

# Selected Objects:

9164217736       00:03:39.949 +10:04:51.73 2000.0 19.53 r    5 1 0 -98
9359074919       00:03:44.628 +10:04:43.22 2000.0 21.47 r  555 1 0 -98
9390257893       00:03:45.363 +10:04:51.98 2000.0 21.21 r 2035 1 0 -98
9489136567       00:03:47.761 +10:04:48.08 2000.0 21.75 r  492 1 0 -98
0945940724       00:04:22.699 +10:04:30.55 2000.0 20.95 r  106 1 0 -98
1075861854       00:04:25.817 +10:04:33.94 2000.0 20.67 r 1138 1 0 -98
1126396901       00:04:27.026 +10:04:49.06 2000.0 21.27 r  421 1 0 -98
8359778945       00:03:20.646 +10:03:55.35 2000.0 20.89 r 2080 1 0 -98
8648789218       00:03:27.602 +10:03:55.29 2000.0 20.44 r 2791 1 0 -98
8779289443       00:03:30.708 +10:03:56.86 2000.0 21.56 r  115 1 0 -98
8791496052       00:03:31.014 +10:03:46.52 2000.0 19.74 r 5718 1 0 -98
9158902760       00:03:39.808 +10:03:36.74 2000.0 20.50 r 3042 1 0 -98
9338726219       00:03:44.122 +10:03:47.15 2000.0 21.40 r   61 1 0 -98
9450184268       00:03:46.811 +10:03:41.81 2000.0 21.16 r 1064 1 0 -98
9479258785       00:03:47.492 +10:03:54.65 2000.0 20.84 r 1469 1 0 -98
9510501870       00:03:48.264 +10:03:34.00 2000.0 21.28 r  906 1 0 -98
9520843418       00:03:48.499 +10:03:38.69 2000.0 21.41 r  172 1 0 -98
9567966815       00:03:49.630 +10:03:48.73 2000.0 21.59 r  572 1 0 -98
9569521149       00:03:49.668 +10:03:31.91 2000.0 21.48 r 1209 1 0 -98
9702447283       00:03:52.865 +10:03:50.01 2000.0 21.48 r  854 1 0 -98
9735093879       00:03:53.657 +10:03:40.03 2000.0 21.28 r  371 1 0 -98
8325503661       00:03:19.836 +10:04:09.37 2000.0 21.44 r  567 1 0 -98
8727203208       00:03:29.467 +10:04:08.01 2000.0 19.91 r  128 1 0 -98
8858232517       00:03:32.615 +10:04:06.21 2000.0 19.41 r  111 1 0 -98
8869380616       00:03:32.871 +10:04:00.39 2000.0 20.29 r 1362 1 0 -98
9053702390       00:03:37.282 +10:04:05.77 2000.0 21.63 r  797 1 0 -98
9163557766       00:03:39.917 +10:04:21.71 2000.0 20.44 r 3422 1 0 -98
9189596482       00:03:40.545 +10:04:17.81 2000.0 21.25 r  901 1 0 -98
9381427476       00:03:45.165 +10:04:20.82 2000.0 21.46 r  424 1 0 -98
9672066075       00:03:52.140 +10:04:16.36 2000.0 21.87 r  277 1 0 -98
0077636978       00:04:01.867 +10:04:19.36 2000.0 21.03 r  118 1 0 -98
0180871930       00:04:04.340 +10:04:04.14 2000.0 20.50 r 1686 1 0 -98
0432119717       00:04:10.341 +10:04:27.77 2000.0 19.97 r  688 1 0 -98
1294663308       00:04:31.060 +10:04:08.42 2000.0 21.40 r 1234 1 0 -98
1329745831       00:04:31.907 +10:04:16.08 2000.0 21.65 r   29 1 0 -98
8517307675       00:03:24.421 +10:05:21.57 2000.0 20.89 r 2701 1 0 -98
8723390678       00:03:29.379 +10:05:00.57 2000.0 20.48 r 1662 1 0 -98
8817339867       00:03:31.611 +10:05:28.20 2000.0 21.03 r  398 1 0 -98
8844575509       00:03:32.247 +10:05:15.22 2000.0 21.25 r 1457 1 0 -98
8845567748       00:03:32.298 +10:05:21.85 2000.0 21.37 r 1036 1 0 -98
8946514414       00:03:34.720 +10:05:11.72 2000.0 19.93 r 5225 1 0 -98
9365557628       00:03:44.762 +10:05:21.24 2000.0 21.54 r  778 1 0 -98
9665199492       00:03:51.949 +10:05:26.57 2000.0 21.30 r  690 1 0 -98
0152943543       00:04:03.656 +10:05:08.96 2000.0 21.26 r 1492 1 0 -98
0419027291       00:04:10.048 +10:05:20.09 2000.0 21.53 r 1558 1 0 -98
0740134448       00:04:17.768 +10:05:11.82 2000.0 21.22 r 1160 1 0 -98
8413167003       00:03:21.939 +10:05:49.70 2000.0 19.87 r 1686 1 0 -98
8670376968       00:03:28.101 +10:05:49.37 2000.0 21.19 r 1262 1 0 -98
8973122788       00:03:35.392 +10:05:37.28 2000.0 20.85 r  278 1 0 -98
9122568502       00:03:38.948 +10:05:53.95 2000.0 20.07 r 5052 1 0 -98
