objID,raMean,decMean,rKronMag
119990009534524746,0.9534257,9.99520983,21.33009910583496
119990009534524746,0.9534257,9.99520983,21.375099182128906
119990009561765109,0.95615696,9.9954902,20.067699432373047
119990009561765109,0.95615696,9.9954902,20.138900756835938
119990009597871257,0.95975852,9.99227308,20.993499755859375
119990009597871257,0.95975852,9.99227308,21.033000946044922
119990009610832402,0.96107329,9.99322694,19.205900192260742
119990009610832402,0.96107329,9.99322694,19.242799758911133
119990009656325968,0.96563167,9.99623999,-999.0
119990009656325968,0.96563167,9.99623999,-999.0
119990009657628379,0.96574124,9.99841294,-999.0
119990009657628379,0.96574124,9.99841294,-999.0
119990009672559718,0.96726395,9.9993152,19.77720069885254
119990009672559718,0.96726395,9.9993152,19.81439971923828
119990009713875374,0.97137851,9.99567983,22.834800720214844
119990009713875374,0.97137851,9.99567983,23.322799682617188
119990009724663775,0.97240675,9.99435755,21.26919937133789
119990009724663775,0.97240675,9.99435755,21.33049964904785
119990009726279678,0.97268742,9.99923878,21.78459930419922
119990009726279678,0.97268742,9.99923878,21.837299346923828
119990009754793120,0.97545418,9.99376752,21.798099517822266
119990009754793120,0.97545418,9.99376752,21.882400512695312
119990009755169280,0.9755748,9.99905516,-999.0
119990009755169280,0.9755748,9.99905516,-999.0
119990009769050995,0.97692005,9.99210574,-999.0
119990009769050995,0.97692005,9.99210574,-999.0
120010008947786513,0.89486351,10.01329618,20.119199752807617
120010008947860262,0.89483834,10.00800206,21.066099166870117
120010008947860262,0.89483834,10.00800206,21.054800033569336
120010009050649202,0.9050631,10.01560362,-999.0
120010009088528442,0.90906343,10.0152205,20.981300354003906
120010009088528442,0.90906343,10.0152205,-999.0
120010009109296024,0.91096905,10.01294015,-999.0
120010009109296024,0.91096905,10.01294015,-999.0
120010009141645331,0.91416394,10.01238053,-999.0
120010009141645331,0.91416394,10.01238053,-999.0
120010009143807566,0.91440815,10.01421156,-999.0
120010009143807566,0.91440815,10.01421156,-999.0
120010009166124924,0.91661317,10.01203797,-999.0
