# Mask name, center:
RMJ0219B           2:19:48.41    1:29:01.5  2000.0 PA=210.00 ##

#  Guider center:    2:19:40.75    1:28:09.8

# Selected Objects:

0698763105       02:20:16.786 +01:24:38.10 2000.0 21.05 r  256 1 0 -10
1037131523       02:20:24.850 +01:24:33.45 2000.0 21.63 r  262 1 0 -10
9274479478       02:19:42.593 +01:17:27.05 2000.0 20.22 r 3751 1 0 -10
9420836563       02:19:46.117 +01:17:18.42 2000.0 20.95 r 1624 1 0 -10
9643562665       02:19:51.428 +01:17:06.65 2000.0 21.66 r  680 1 0 -10
9678288541       02:19:52.291 +01:17:24.25 2000.0 20.04 r 4152 1 0 -10
9902694245       02:19:57.645 +01:17:11.09 2000.0 21.64 r   22 1 0 -10
9910948529       02:19:57.856 +01:17:24.56 2000.0 21.07 r  909 1 0 -10
8289464808       02:19:18.953 +01:21:12.99 2000.0 20.70 r 3978 1 0 -10
8624519379       02:19:26.992 +01:21:26.55 2000.0 20.95 r  303 1 0 -10
8689908742       02:19:28.547 +01:21:24.95 2000.0 21.25 r  130 1 0 -10
8804021324       02:19:31.297 +01:21:02.58 2000.0 21.68 r  217 1 0 -10
8879007250       02:19:33.105 +01:21:20.36 2000.0 21.08 r  446 1 0 -10
8880365135       02:19:33.134 +01:21:14.24 2000.0 20.13 r  957 1 0 -10
9470920126       02:19:47.311 +01:20:58.93 2000.0 21.56 r  234 1 0 -10
0026050746       02:20:00.627 +01:21:01.09 2000.0 21.49 r  151 1 0 -10
0052261326       02:20:01.232 +01:21:02.58 2000.0 21.52 r  999 1 0 -10
0067307287       02:20:01.613 +01:21:20.03 2000.0 21.92 r  673 1 0 -10
1085297297       02:20:26.044 +01:24:50.72 2000.0 20.49 r  513 1 0 -10
8246164959       02:19:17.906 +01:25:13.73 2000.0 21.38 r  201 1 0 -10
8659064829       02:19:27.819 +01:25:13.44 2000.0 20.87 r  982 1 0 -10
0549063996       02:20:13.190 +01:21:10.62 2000.0 21.50 r  558 1 0 -10
0745046316       02:20:17.900 +01:21:18.03 2000.0 20.12 r   88 1 0 -10
8962907805       02:19:35.116 +01:25:21.78 2000.0 21.25 r 1626 1 0 -10
9733718347       02:19:53.592 +01:25:23.37 2000.0 20.78 r 2189 1 0 -10
9739145539       02:19:53.746 +01:25:15.19 2000.0 20.13 r 5891 1 0 -10
0005773740       02:20:00.136 +01:25:10.44 2000.0 20.00 r 3562 1 0 -10
0541992095       02:20:12.984 +01:25:05.21 2000.0 22.05 r  412 1 0 -10
0681007189       02:20:16.340 +01:25:20.20 2000.0 20.59 r 3546 1 0 -10
0754499424       02:20:18.102 +01:25:27.02 2000.0 21.71 r  159 1 0 -10
0892870874       02:20:21.417 +01:25:01.39 2000.0 21.53 r  500 1 0 -10
9114961291       02:19:38.759 +01:17:32.46 2000.0 20.87 r  139 1 0 -10
9201978267       02:19:40.852 +01:17:53.39 2000.0 19.94 r 16510 1 0 -10
9452771045       02:19:46.875 +01:17:31.64 2000.0 20.94 r  814 1 0 -10
9466834284       02:19:47.182 +01:17:41.25 2000.0 21.02 r 2071 1 0 -10
9513624573       02:19:48.323 +01:17:42.86 2000.0 21.73 r  483 1 0 -10
0371828830       02:20:08.904 +01:17:55.44 2000.0 21.04 r  702 1 0 -10
8636082068       02:19:27.279 +01:21:34.99 2000.0 20.31 r   85 1 0 -10
8736987297       02:19:29.695 +01:21:50.58 2000.0 20.04 r 4699 1 0 -10
9469111303       02:19:47.293 +01:21:32.48 2000.0 20.98 r  397 1 0 -10
0059554823       02:20:01.422 +01:21:43.12 2000.0 21.63 r  651 1 0 -10
8385833362       02:19:21.284 +01:25:38.85 2000.0 21.09 r 2274 1 0 -10
8853286637       02:19:32.480 +01:25:48.51 2000.0 20.76 r  436 1 0 -10
8872582725       02:19:32.961 +01:25:37.04 2000.0 20.15 r 2701 1 0 -10
8926166326       02:19:34.239 +01:25:47.30 2000.0 20.41 r 2219 1 0 -10
0484957796       02:20:11.633 +01:21:52.20 2000.0 20.76 r   42 1 0 -10
0565815010       02:20:13.584 +01:21:43.73 2000.0 20.49 r 4046 1 0 -10
0590187267       02:20:14.161 +01:21:50.26 2000.0 21.28 r  238 1 0 -10
0789269854       02:20:18.939 +01:21:57.95 2000.0 21.03 r  789 1 0 -10
9883606231       02:19:57.215 +01:25:47.35 2000.0 21.38 r  530 1 0 -10
0338124849       02:20:08.111 +01:25:43.07 2000.0 19.55 r 6264 1 0 -10
1164183452       02:20:27.911 +01:25:38.80 2000.0 21.32 r   98 1 0 -10
7760440116       02:19:06.271 +01:26:28.87 2000.0 21.09 r  125 1 0 -10
7817177252       02:19:07.622 +01:26:50.30 2000.0 21.99 r  278 1 0 -10
7901526512       02:19:09.637 +01:26:48.41 2000.0 21.60 r   90 1 0 -10
7958022214       02:19:11.005 +01:26:35.69 2000.0 21.06 r 1882 1 0 -10
8007907914       02:19:12.169 +01:26:52.45 2000.0 21.43 r  738 1 0 -10
8164551228       02:19:15.969 +01:26:32.47 2000.0 20.64 r 3544 1 0 -10
8246248885       02:19:17.923 +01:26:55.39 2000.0 20.22 r 4235 1 0 -10
8366848284       02:19:20.810 +01:26:53.55 2000.0 19.38 r 1541 1 0 -10
8373891163       02:19:21.008 +01:26:32.25 2000.0 21.04 r 1202 1 0 -10
8583379229       02:19:26.025 +01:26:56.26 2000.0 21.13 r 1279 1 0 -10
8743711649       02:19:29.874 +01:26:33.43 2000.0 19.91 r  158 1 0 -10
8746861896       02:19:29.913 +01:26:34.29 2000.0 19.76 r 3320 1 0 -10
8796380013       02:19:31.125 +01:26:28.98 2000.0 20.43 r  793 1 0 -10
9278086573       02:19:42.676 +01:26:48.37 2000.0 20.98 r  235 1 0 -10
9984588399       02:19:59.630 +01:26:53.92 2000.0 21.67 r  386 1 0 -10
0062042233       02:20:01.490 +01:26:35.49 2000.0 21.03 r   14 1 0 -10
0095821245       02:20:02.292 +01:26:31.98 2000.0 20.39 r   32 1 0 -10
0258781125       02:20:06.173 +01:26:32.01 2000.0 21.40 r 1363 1 0 -10
0301736043       02:20:07.247 +01:26:46.77 2000.0 20.57 r 3004 1 0 -10
0335600789       02:20:08.054 +01:26:31.00 2000.0 20.48 r  144 1 0 -10
0344372389       02:20:08.251 +01:26:35.30 2000.0 20.85 r 1819 1 0 -10
0503804957       02:20:12.098 +01:26:43.15 2000.0 19.84 r 3211 1 0 -10
0571312783       02:20:13.687 +01:26:36.85 2000.0 21.50 r  529 1 0 -10
0972576314       02:20:23.341 +01:26:47.63 2000.0 20.73 r 4337 1 0 -10
1049141860       02:20:25.168 +01:26:34.45 2000.0 21.73 r 1511 1 0 -10
1180499200       02:20:28.339 +01:26:55.70 2000.0 21.04 r 1648 1 0 -10
1392921073       02:20:33.435 +01:26:31.90 2000.0 20.18 r 4980 1 0 -10
1404701742       02:20:33.716 +01:26:33.65 2000.0 20.01 r 3366 1 0 -10
8781341027       02:19:30.752 +01:34:31.81 2000.0 19.67 r 2217 1 0 -10
9080132369       02:19:37.940 +01:34:35.80 2000.0 21.64 r  682 1 0 -10
9243392745       02:19:41.840 +01:34:36.94 2000.0 21.41 r  496 1 0 -10
9340142999       02:19:44.164 +01:34:37.69 2000.0 21.27 r   72 1 0 -10
9670189867       02:19:52.091 +01:34:58.32 2000.0 21.62 r   23 1 0 -10
9741310329       02:19:53.796 +01:34:29.97 2000.0 21.01 r  888 1 0 -10
9827614777       02:19:55.860 +01:34:43.28 2000.0 21.87 r  199 1 0 -10
0506299337       02:20:12.185 +01:34:56.36 2000.0 19.95 r 1799 1 0 -10
0790014317       02:20:18.965 +01:34:41.29 2000.0 20.33 r 10574 1 0 -10
1280137455       02:20:30.731 +01:34:51.12 2000.0 20.82 r  229 1 0 -10
