# Mask name, center:
A384B              2:48:03.30   -2:15:57.3  2000.0 PA=-120.0 ##

#  Guider center:    2:47:54.93   -2:15:44.8

# Selected Objects:

0356381119       02:48:08.522 -02:10:58.35 2000.0 21.36 r    8 1 0 39
0453658542       02:48:10.909 -02:10:35.81 2000.0 21.18 r  548 1 0 39
0601210375       02:48:14.470 -02:11:00.19 2000.0 22.26 r  527 1 0 39
0820520838       02:48:19.697 -02:10:58.56 2000.0 21.30 r   27 1 0 39
0890142218       02:48:21.354 -02:10:54.99 2000.0 20.80 r  162 1 0 39
0964989084       02:48:23.203 -02:10:34.34 2000.0 20.77 r   32 1 0 39
1089940987       02:48:26.163 -02:10:57.74 2000.0 20.39 r 3011 1 0 39
1255000282       02:48:30.154 -02:11:00.56 2000.0 20.84 r 2547 1 0 39
1256847007       02:48:30.165 -02:10:40.30 2000.0 21.70 r    9 1 0 39
1322645241       02:48:31.774 -02:10:45.50 2000.0 21.66 r  373 1 0 39
1345045657       02:48:32.285 -02:10:44.27 2000.0 21.23 r  287 1 0 39
1574484061       02:48:37.782 -02:10:49.05 2000.0 21.42 r  275 1 0 39
1617536546       02:48:38.829 -02:10:41.24 2000.0 20.47 r  521 1 0 39
1678669561       02:48:40.291 -02:10:32.61 2000.0 21.40 r  354 1 0 39
9525642397       02:47:48.602 -02:05:53.84 2000.0 20.88 r 1220 1 0 39
0018828176       02:48:00.452 -02:05:36.65 2000.0 19.86 r 1360 1 0 39
0077938872       02:48:01.893 -02:05:34.75 2000.0 21.02 r  938 1 0 39
0400759877       02:48:09.609 -02:05:31.71 2000.0 21.03 r   51 1 0 39
8216444061       02:47:17.204 -02:20:18.97 2000.0 21.00 r   33 1 0 39
8244999534       02:47:17.905 -02:20:02.46 2000.0 20.88 r 1270 1 0 39
8280216522       02:47:18.729 -02:20:11.46 2000.0 20.88 r  676 1 0 39
8338742905       02:47:20.146 -02:20:22.20 2000.0 21.95 r  296 1 0 39
9512463120       02:47:48.281 -02:20:21.68 2000.0 21.41 r   46 1 0 39
9945931705       02:47:58.722 -02:20:26.31 2000.0 21.02 r  126 1 0 39
9977847974       02:47:59.475 -02:20:07.53 2000.0 21.70 r   77 1 0 39
0016901616       02:48:00.421 -02:20:26.27 2000.0 20.70 r   77 1 0 39
